path	type	family	size_bytes	sha256	reference_count
UI Official/Buttons1/Input_Xbox_A_Pressed.png	.png	UI	230	3a35e84133673e6bb95d58d51b1dd0bb0b97398f13a1eff5d25d653973488c24	0
UI Official/Buttons1/Input_Xbox_A_Selected.png	.png	UI	282	392061c4846a73f11a958713288c6c011839e4033c4589e3d1372321d32f0efd	0
UI Official/Buttons1/Input_Xbox_B_Normal.png	.png	UI	252	543ddb5617d921188662292624eb626be2ee28807ff5f280e529cb20f400619e	0
UI Official/Buttons1/Input_Xbox_B_Pressed.png	.png	UI	220	9211d88cefdde1ecda7e7c1a2ee8338d5d543cf085e6fdae06b81919705595cb	0
UI Official/Buttons1/Input_Xbox_B_Selected.png	.png	UI	285	b65816dde11cddf6dfab1c8cbb189c95a8432532844ebd0d3fee89ade3863b0f	0
UI Official/Buttons1/Input_Xbox_Menu_Normal.png	.png	UI	250	21002d319ebb36764ed40d5a79ad491621c1e42cdee1abc6e9780f73b7290e2f	0
UI Official/Buttons1/Input_Xbox_Menu_Pressed.png	.png	UI	211	5137ec21c96e828b77011796c41baccd4ef61358ab06cbabf1116ad63df0c0f7	0
UI Official/Buttons1/Input_Xbox_Menu_Selected.png	.png	UI	292	f92197e051dec6d5a3a183cae32a39f8c294c15b7c4552b75b2db0050e513ea2	0
UI Official/Buttons1/Input_Xbox_X_Normal.png	.png	UI	249	331ceb9f832a872dcc35796cd3316c0dd40d821481f9847fd3211944e4a9185f	0
UI Official/Buttons1/Input_Xbox_X_Pressed.png	.png	UI	217	10310ad74a5e71dfd79ac116feca166a7515fd081b2a426ce0d79c193c5a12f8	0
UI Official/Buttons1/Input_Xbox_X_Selected.png	.png	UI	293	cbd4166730abd457aa373e95954b7ef91a55ef0da769540152bc4b900eaa41ca	0
UI Official/Buttons1/Input_Xbox_Y_Normal.png	.png	UI	251	864eb1375b94d3a3de7e0fdd473970202456b5f0870382aaf91f96061e4862d4	0
UI Official/Buttons1/Input_Xbox_Y_Pressed.png	.png	UI	214	b0cf9ce6576af9ea8da5c38711ca735291b64696bf29aeb1ae1bd5e4c128b44a	0
UI Official/Buttons1/Input_Xbox_Y_Selected.png	.png	UI	278	b2a6fafba3a634d230f14d8fb6742aab47f679a1044c90f04ccc6689dfaf0315	0
UI Official/Buttons2/Input_Axis02_R3_Down.png	.png	UI	236	3aefe7c92389b6309b95179e62993221cf9da4762283f577de6162a739e1606a	0
